cb_label,uri,definition,usage,content_standard
Title,http://purl.org/dc/terms/title,A name given to the resource.,"Populate for every row, including children. For objects having a formal title, transcribe the title and impose sentence case. For articles, add the serial title in parentheses after the article title; impose sentence case. For objects lacking a formal title, devise a title that uniquely identifies the object; use sentence case.","Metadata creation guidelines: Title element (based on DACS, RDA)"
Creator (Person),http://purl.org/dc/terms/creator,A person primarily responsible for making the resource.,"Use values from the LC Name Authority File to identify the creator(s) of the resource. If a name cannot be found in LCNAF, use a locally authorized name or the preferred or official name. For images of creative works (such as photographs of statues), the creators of both the photograph and the creative work may be included, if known. If a creator cannot be determined, leave blank. Separate multiple values with semicolons. Record LCNAF URIs in the corresponding URI field. Keep URIs in the same order as the values in the name field. If a name lacks a URI, indicate its absence by a semicolon.",Metadata creation guidelines: Name elements (based on LCNAF) OR ISULV
Creator (Organization),http://purl.org/dc/terms/creator,An organization primarily responsible for making the resource.,"Use values from the LC Name Authority File to identify the creator(s) of the resource. If a name cannot be found in LCNAF, use a locally authorized name or the preferred or official name. For images of creative works (such as photographs of statues), the creators of both the photograph and the creative work may be included, if known. If a creator cannot be determined, leave blank. Separate multiple values with semicolons. Record LCNAF URIs in the corresponding URI field. Keep URIs in the same order as the values in the name field. If a name lacks a URI, indicate its absence by a semicolon.",LCNAF or ISULV
Interviewee,http://purl.org/dc/terms/contributor,An entity who was interviewed.,Use this field for oral histories. See usage notes for Creator.,Metadata creation guidelines: Name elements (based on LCNAF)
Interviewer,http://purl.org/dc/terms/contributor,An entity responsible for conducting the interview which the resource records.,Use this field for oral histories. See usage notes for Creator.,Metadata creation guidelines: Name elements (based on LCNAF)
Date Created,http://purl.org/dc/terms/date,"The date of creation of the original resource, not the digital surrogate.","Use the EDTF/ISO 8601 date format (YYYY-MM-DD). Use YYYY/YYYY for time intervals. Do not use abbreviations such as “ca.” or “n.d.” If date is unknown, leave blank. 
CB timeline visualization accepts only ISO, not EDTF. Use ""?"" for uncertain and ""~"" for approximate year. Do not use XXXX if the year is unknown. Do not use ""../"" OR ""/.."" to specify open start/end time intervals.",EDTF/ISO 8601
Time Period,http://purl.org/dc/terms/subject,Temporal characteristics of the resource.,Include the relevant decade or decades covered by the object. Style decades in numerals without apostrophes. Separate multiple decades with a semicolon.,Metadata creation guidelines: Punctuation
Description,http://purl.org/dc/terms/description,An account of the resource.,"Construct a brief description of the item following curator preferences and local metadata creation guidelines. Also record general notes, accessibility notes, CCO descriptions, table of contents, and brief annotations in this field. Do not use semicolons as delimiters to separate multiple descriptions, as this field is not tokenized.",Metadata creation guidelines: Description element
Subject (Topic),http://purl.org/dc/terms/subject,The topic of the resource.,"Use this field to indicate the ""aboutness"" of the resource using the FAST vocabulary. Do not include names, places, or chronological, genre, or type information, as these have their own fields. Do not include genre terms that describe the nature of the resource, or what it is rather than what it is about (for example, “correspondence”); record these in aat_genre. Separate multiple values with semicolons. Record FAST URIs in the corresponding _valueURI field; on ingest, these URIs are transformed to attributes of the <subject> element. Keep URIs in the same order as the values in the subject field.",Metadata creation guidelines: Subject elements (FAST)
Subject (Person),http://purl.org/dc/terms/subject,Person(s) discussed or portrayed in a resource.,"Use values from the LC Name Authority File to identify people discussed or portrayed in the resource. If a name cannot be found in LCNAF, use a locally authorized name or the preferred or official name. Separate multiple values with semicolons. Record URIs in the corresponding _valueURI field; on ingest, these URIs are transformed to attributes of the <name> element. Keep URIs in the same order as the values in the name field. If a name lacks a URI, indicate its absence by a semicolon.",Metadata creation guidelines: Name elements (based on LCNAF) OR ISULV
